epoch,loss,val_loss
0,4.60144632768631,3.562740556475858
1,3.5029895598888396,3.43989389309819
2,3.4161521949768066,3.379457887572181
3,3.3656328964233397,3.345866509300165
4,3.325435716152191,3.295924165568749
5,3.290651384115219,3.2697028251392495
6,3.261771084308624,3.237901397370921
7,3.2368927891254424,3.1982063278503166
8,3.204335629940033,3.2409845140570037
9,3.1752829673290255,3.1401100169934915
0,3.143924699306488,3.1204580303858656
1,3.1092044718265535,3.0868092431574605
10,3.0720250668525697,3.0236313869806426
11,3.0486633331775663,3.0237180670599026
12,3.0019883074760436,3.008820560568207
13,2.9672292084693908,2.924339896635862
14,2.9260759954452515,2.8854582362567385
15,2.900575755119324,2.876962809257984
16,2.85996678853035,3.0428791529613406
17,2.8279878709316253,2.8391365440519767
18,2.7887648315429687,3.051280799605773
19,2.7729745366573333,2.7589143036503017
20,2.741715374469757,2.7296687700478035
21,2.7127204513549805,2.723390787228524
22,2.686322938680649,2.694310218088752
23,2.6523183941841126,2.6844222753066496
24,2.632402060031891,2.703254104588173
25,2.615021808385849,2.7006010653921466
26,2.586926456928253,2.6223664239340585
27,2.5631253328323362,2.8633491480246493
28,2.54563347697258,2.627386846567094
29,2.5308945524692534,2.6543958868459834
30,2.5092424870729446,2.7366040688982216
31,2.480891173243523,2.607729596086505
32,2.473781003832817,2.712574208522006
33,2.4581104457378387,2.561328388896367
34,2.438420334339142,2.636478712355801
35,2.414474918842316,2.837382044159166
0,4.597686873435974,3.5608138056768888
1,3.5045834877490996,3.454068741431603
2,3.428574771642685,3.384771135153712
3,3.3743168115615845,3.3545048786512055
4,3.3255035371780397,3.296901856852043
5,3.2969607009887696,3.2863442152506
6,3.267192992925644,3.253567920268047
7,3.2370296795368194,3.2150555597898554
8,3.201819226503372,3.1608514812346153
9,3.178775649547577,3.1350733885664073
10,3.1474938299655912,3.179046315322195
11,3.112660799264908,3.119055069888316
12,3.0875924825668335,3.0745404242406056
13,3.04122705245018,3.045102980942232
14,3.025901039361954,2.9796823115120232
15,2.980401291847229,3.0188378980735022
16,2.944125025987625,3.093156125420578
17,2.9203557620048524,3.01443700630928
18,2.876230605363846,2.8737811295350926
19,2.83925821352005,2.881882836117073
